"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3,R4";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"3.9k";;;
2;"U2";"DIP-14_W7.62mm_Socket";1;"74LS32";;;
3;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"RPI Connector";;;
4;"U6,U5,U7";"TSSOP-20_4.4x6.5mm_P0.65mm";3;"TXS0108EPW";;;
5;"SW1";"DIP-16_W7.62mm_Socket";1;"SW_DIP_x08";;;
6;"C2,C3,C12,C7,C9,C10,C5,C6,C11,C8,C4";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";11;"100n";;;
7;"U8";"SOIC-8W_5.3x5.3mm_P1.27mm";1;"24C128";;;
8;"U9";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
9;"R2";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"1k";;;
10;"J1";"DIN41612_R_2x32_Male_Horizontal_THT";1;"Podule connector";;;
11;"INT1";"PinHeader_2x02_P2.54mm_Vertical";1;"INT";;;
12;"CP2";"CP_Radial_D8.0mm_P5.00mm";1;"22µ";;;
13;"U4";"DIP-14_W7.62mm_Socket";1;"74LS04";;;
14;"RN1";"R_Array_SIP9";1;"10K";;;
15;"Prgm1";"PinHeader_1x02_P2.54mm_Vertical";1;"Prgm";;;
16;"U3";"DIP-48_W15.24mm_Socket";1;"IDT7130";;;
17;"HAT1,ARM1";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
18;"U1";"DIP-20_W7.62mm_Socket";1;"74LS245";;;
19;"CP1";"CP_Radial_D8.0mm_P5.00mm";1;"10µ";;;
